review	labels
i bought this kettle in february 2006 i liked everything about it until its automatic on off switch died recently only two months after the purchase now the kettle won t turn on it wasn t abused in any way and these kettles usually last for years and years the last one of similar kind served me well for 12 years until it started to leak and was replaced with this spanking new proctor silex k4070 i wonder if my bad experience with this kettle was unique has anyone else had one with a short lived switch or was i unlucky	negative
i just purchased this vacuum this morning and vacuumed the entire house and now i am afraid that i have to return it back to the store it sucks wonderfully don t get me wrong the reason why it s got to be returned to targetland is because of 1 the noise 2 the dust that flies out of the dust cup when you re emptying it the noise is certainly the loudest i ve ever heard on a vacuum cleaner but i thought hey that s okay if you want to be noisy until i ventured into cleaning the stairs there s not much of an extension between the cleaning wand brush and the actual machine so while i was bending over to suck up hair and debris \( what have you \) from the stairs carpet i had the crazy noise blasting turbo style directly into my ear \( this was done 15 minutes ago and my ear still hurts \) the other problem i ve found with the vacuum is the point that while emptying the dust cup i am having to actually touch dirt and dust \( the entire outside of the cup is coated with it \) while pouring the dirt into the trash can a bit of dirt and dust fall onto the floor nasty and what s the point in the dust cup if this happens i had a eureka spin brush vacuum contraption most recently \( it died after 2 1 2 years \) and i know from that experience that the dirt and dust should not be coating the cup nor falling to the floor so alas my friends i must pack up this marvel and take it back to the store mayhaps i ll have luck with a vacuum cleaner that uses bags \( you know the old fashioned kind \)	negative
i say nearly useless because the ceramic pot is a nice size and weight for melting chocolate in the microwave \( which is what you ll have to do \) and the warmer makes a decent trivet but it does not ever get hot enough to actually melt the chocolate we followed the directions and allwed 1 2 hour for the chocolate to melt \( putting chips in as we started dinner \) half an hour later some of the chocolate \( on the outside of the crock by the burner coil \) had melted a bit an hour passed still nothing much now given that cocoa butter melts at body temperature \( which is why it is used in cosmetics \) that s saying something the pot never reached 98 degrees if i d put the chips in a zip lock in my lap during dinner i would have had better results since this was a relatively inexpensive item and i got it effectively for free during amazon s recent valentine s day promotion i did not send it back \( thinking it would be unfair to make them pay shipping both ways on an item which costs near as much to ship as it does to buy \) but if you are actually paying for this don t bother \( or at least be advised that it will not actually melt the chocolate \) it does do a reasonable job of holding the temperature once you ve melted the chocolate some other way	negative
will work fine if you only use a few light coats not designed for a family of four in a colder region it s now proped up in the corner as it has lost two leggs and half it s hooks now shopping for a new one looked nice in the oak	negative
i bought this product in december 2004 after two months of use \( about once a week \) the on off switch broke eventually after using it for a year \( and trying to get hoover to correct the problem \) just before christmas 2005 i got quite a fright when i started smelling smoke whilst using it i discontinued the use of the product and asked hoover once again to please look at it their reply was that i should take it to one of their authorised shops where they ll repair it charge me then hoover will see if it was in fact a factory error and only then refund me when they feel they re not in the wrong please don t waste your money on this product it is defnitely not worth it it is noisy vacuums carpets well when used to work but is unable to vacuum floors at all \( one of the options on it \) sorry hoover but you have lost a loyal customer \( my whole family for 3 generations back has always bought hoover including myself	negative
i am extremely pleased with the anolon cookware set it cooks evenly and cleans up beautifully many of my friends recommended this set and i m glad to have taken their advice and made the purchase	positive
total rubbish wood was scratched on top corner was smashed water damage on the shelf and door was cracked it is really irritating to spend an hour putting this tv stand together only to find it is too thrashed to use the holes were not even lined up properly with the dowels making it quite difficult to put together extremely shoddy craftsmanship and apparently no quality control to add salt in the wound the crumbly styrafoam packaging got all over the living room and i had to spend a good bit of time vacuuming and sweeping so the dog and the baby would not eat it if you like taking chances and do still want to buy it it s probably a 50 50 chance that it will be damaged	negative
i ve owned this sofa for less than a year and it completely fell apart the seat of the sofa is supported by a wooden frame with a nylon webbing stretched taught and stapled over it we had 4 people of reasonable weight on the sofa \( something we ve done numerous times before \) and it collapsed out from underneath us the four parts of the seat frame are held in with small little dowels that rest on a less than one inch lip around the outside of the couch frame the sofa is designed to look nice but does not hold up well to average use for 400 a sofa should last at least a year of moderate use of people only sitting on it you re better off going to ikea or some other retailer that spends as much time in the basic structural design as they do in the appearance of the couch	negative
my mother in law and i both had this blender hers broke in a couple of months i was lucky that mine lasted a couple of years it is a great blender for crushing ice for smoothies icees etc however it has a flaw that the piece that the pitcher sits on when it spins is made out of plastic it eventually cracks from the heat friction produced i bought the oster beehive blender to replace it and it has a metal piece beneath it and i have had it for a few years now with no problem i am even happier with the oster beehive blender as it is a much better quality blender which will last a lot longer than the cuisinart one \( it was also cheaper \) and it crushes ice exactly as good if not better than the cuisinart blender	negative
this is a very nice pan for 20 the non stick surface works very well even without cooking oil the heavy aluminum heats up very evenly the glass lid helps prevent over cooking of course non stick pans are for low to medium heat only you cannot use this pan for high heat stir frying	positive
hunter fan arrived in 2 days from amazon com and immediately i noticed the weight of the fan heavy just the way i like it unpacked this beauty and plugged her in and off she went with a beautiful sound i love the 3 wing blade and the speed variation is great from barely running to blow your hat off we love it keep up the good work hunter i intend to buy one for a christmas gift also	positive
drip drip drip one drip at a time it takes 20 minutes to fill a pasta pot we ve had it 3 years \( it never worked any faster than this \) and sometimes i m just tempted to just use the tap water and not worry about lead poisoning from the pipes	negative
i just don t like this item got it as a wedding gift and have hardly used it because it sucks plain and simple don t buy there are others out there that are better not kitchenaid quality here	negative
not too happy with this small pizza stone before i ordered this one for a long time i had a set of flat bricks in my oven that were made for pizza baking and bread baking i couldnt find these bricks again i had them for a long time and they were cracked and hard to clean by now but they were so much better than this small round stone my bricks made my pizza crust so crispy and this stone is a poor substitute for this my bricks were square and made a beautiful large square on my shelf if anyone knows what i am writing about pls email me and let me know where these set of bricks can be found and their name i am not happy with this pizza set the rack is of no use the pizza cutter is a cheap one they really should put the money into making a better product than giving extras	negative
the unit has nice large digits but the wireless sensors don t work consistantly the system works for perhaps 3 days and then the wireless link goes down we have to remove the remote sensor batteries and reinstall them for the link to be re established	negative
my wife bought this one from best buy without me reviewing it 1st amazingly i would have bought it after reading the reviews here i m starting to wonder who writes these things lg employees the microwave is fine no complaints the toaster however is an unmitigated disaster i am of the opinion that you should rarely combine appliances this appliance is a poster child for this thought the toaster browns extremely unevenly and inconsistently \( sometimes you should toast the same piece of bread on 5 and sometimes as high as 10 \) more importantly the toaster broke after 31 days \( coincidently the best buy return policy ends at the same time best buy has an unacceptable return policy but with a guy named ricky managing the store what can you expect \) lg picks up the phone quickly and they honor the warranty the problem is they can t think outside of the box they had me get it repaired but i have to inconveniently drive it out there and pick it up ok no problem one day later it breaks again it is an extremely poorly built appliance and the repair people thought they had fixed it and had not that s how bad it was lg will not budge have it repaired again \( great option costs lg money me more travel time and it won t do the job \) or do a rebate the rebate requires me to buy another lg or goldstar product huh so you create a shoddy product and rush it to the marketplace \( they admitted they don t have a detailed enough repair history because it is too new \) and then don t stand behind your product you backend me into another lg or goldstar product that i would not have otherwise bought how does our government allow these atrocious foreign companies to business here our we so bad as a manufacturer that we can t top this their supervisors were very hardlined and there was no getting around this you can cal korea but they won t change their policy they said i will never willingly buy another lg or goldstar product and i highly recommend you do the same shame on you lg you could have had me as an appliance buyer for the next 50 years and now your name is mud to me	negative
we are using 2 love seat throws for an old l shaped sectional sofa it really transformed the green plaid sofa into a nice burgundy color the material quality is great for the price the only drawback is the width of the throw just barely manages to go over the back of the sofa and it keeps slipping say about once a day the throw is basically a rectangular piece of cloth with no in built mechanisms to hold in place \( e g a velcro system straps etc \) so you have to put the throw over the sofa again neatly if you don t mind arranging the throw about once a day this will be a very inexpensive and great looking cover for your sofa	positive
the step stool a gift for my daughter works well as a step stool the problem was in the difficulty to attach the seat and back to the stool the frame did not meet and had to be bent to align the screws there was a hole in the box and the screws fell out so my daughter had to request the screws before she could put it together	positive
i have been purchasing water at my supermarket and was spending more than 30 a month after we purchased this water filter i can tell there s little difference between the water i buy at the store and the water from this filter i also feel confident if my daughters drink it because i know they re not getting all of the bacteria and other hurtful chemicals and minerals present in tab water i recommend this filter	positive
product arrived promptly in good condition this product costs twice as much at vets office somebodies making money	positive
this is a lovely little crockpot whose small size makes it uniquely useful for a number of purposes i ve owned larger crockpots for a couple decades \( currently a 6 quart rival smartcooker is my mainstay for preparing family size meals \) but the larger pots take up a significant amount of counter space aren t at all useful for heating or re heating small quantities this little crockpot however is perfect for heating or re heating 2 4 servings of soup or stew i originally bought it however because it is absolutely perfect for making hot cereal on cold mornings especially those hot cereals that require more than a few minutes of cooking in the microwave or on the stovetop such as steel cut oatmeal \( try the nutty goodness of traditional steel cut oatmeal once \( also available here at amazon \) you re unlikely ever to return to instant or quick cook oatmeal again \) there is nothing nicer on a cold winter morning than walking into the kitchen knowing that a healthy delicious hot breakfast is awaiting you from mid october to late march virtually every night i prepare my entire family s hot breakfast cereal for the next morning in this little crockpot with no more effort than is required to make single serving of instant oatmeal or cream of wheat in the microwave other uses we ve discovered it s perfect for making serving hot mulled cider keeping hot dips gravies warm sauces syrups heated on the buffet as a substitute fondue pot for heating soup at times when hovering over a stovetop or near a microwave would be incovenient \( how nice to come inside from raking leaves or shoveling snow to a hot bowl of soup \) for single people or couples who prefer not to cook in large quantities or apartment dwellers with limited storage space this crockpot would be a very acceptable slow cooker especially if used in conjunction with rival s inexpensive sp100 pdq smart part module \( also sold on amazon as of the date of this review \) which provides the same timed cooking controls that are integrated with many of rival s larger more expensive crockpots the energy used is minimal too only 80 watts the stoneware bowl fits easily in the dishwasher as does the lid for very convenient clean up	positive
i m a big coffee drinker and i thought the bunn would be a coffee lover s delight it turned out to be my biggest nightmare it takes a lot to set it up and get it started if you make a mistake and close the cover before you have the pot in place boy what a mess it leaked out the bottom and was very large and heavy took up way to much room on my counter i dumped it after one week and bought a farberware coffee maker and it is just as good if not better it s small easy to run and the coffee tastes great deb in new hampshir	negative
i bought this coffee maker because of its compact size but returned it a week later i found it very difficult to avoid spillage when pouring the water into the coffee maker and the coffee into a cup the problem was worse if making more than 4 cups another problem was the taste of the coffee i like my coffee full of flavor i have been using drip coffee makers for several years and think i know how to get the coffee just right but every carafe of coffee from this tasted weak and much too hot almost scalding	negative
i just received this set yesterday and haven t had a chance to actually bake a pizza in it yet \( i ll try to remember to update this review once i do \) but there were a few initial impressions i thought merited a review on their own the cookbook mentioned in the title and description of this product was not actually included in the package instead the kit contained a small fold out pamphlet with four or five basic recipes and a card advertising where to obtain the aforementioned cookbook \( i doubt anyone orders this set strictly because of the cookbook or even that it sways many would be buyers who are on the fence about the value of the kit but its absence does make a small difference in the value of the purchase and is something you should know before you buy \) that having been said the pans and lid themselves look and feel so good i have no doubt whatsoever that they ll be wonderful functional additions to my kitchen the hard anondized surface gives a distinct impression of quality and durability i m impressed and i ll be back to say more once i actually use them to make pizzas	positive
this miniature pot is decorative as well as utilitarian since it can be used on the flame for melting butter or small amounts of sauces	positive
of all my global knives i have bought recently this is my favorite i just love it it is very light and so easy to use and has so many uses and especially good for peeling vegetables one of my best buys	positive
the casserole was exactly what my daughter wanted it was priced right and came within a few days of odering i am very pleased with this purchase	positive
sometimes it sprays when she barks most of the time it doesn t so i would say its effectiveness has been rather low it s not the battery or the fill level maybe it just depends on the dog i can bark into it myself and it sprays just fine \( my children found this amusing	negative
we have been searching for a solution to our very uncomfortable seats in our ford windstar van this cushion did not help	negative
after reading countless poor reviews of the dolce desk and hutch i was quite skeptical about ordering it online i gave in and ordered the set from target com the desk arrived in almost perfect condition \( a few smudges in the stain \) however only half the hutch was in its box the entire drawer \( left side of hutch \) was missing the hardware was missing and the assembly instructions were missing i recommend calling your local target store to check the dolce collection s availability \( and the parts inside \) before you waste the time and gas to get there aside from the missing hutch the desk looks really great in my home office	negative
the metal side arms that the drawer slides down on were binding and need some lubrication somewhat flimsy i do not expect it to last long nice concept but i wish they had used better materials	negative
we bought two santas and two pacconi christmas trees when they were on a steep discount at amazon they were the best gifts we gave immediate hits with each couple one in their late 50 s one in the mid 20 s in each case the response was the same it s like my childhood they are going in the living room each season vivid but soft these are superb decorations	positive
first one came cracked second one came chipped gave up	negative
good fabric and nice size great for the price free	positive
i have explored a number of different ways to use my own grind of coffee in the senseo coffeemaker folding filter paper didn t work too much water goes by the filter making a week cup of coffee the quick cup sounded like a good idea but it doesn t fit the holder tightly enough and too much water goes around the filter to get a good cup of coffee i found that the eco pad fits tightly into the two cup holder and it works well the key to any of these re usable pods is that water cannot be allowed to go around the filter the pressurized hot water must be forced through the coffee the quick cup and the eco pad are essentially the same design but the eco pad fits the holder correctly and the quick cup is slightly small buy the eco pad it works the quick cup would work if you could rig a small rubber band seal between the quick cup and the holder a gasket to prevent the water from going around good luck	negative
i have two of these one in yellow and one in a discontinued sea greeny color they re attractive of course this is fiestaware after all but they re darn functional they re long enough to accommodate a london broil or small roast or kebobs and they re deep enough that any juices are not likely to spill while you re carrying or serving i like wish there was one slightly bigger too then i d get two more	positive
saucepan made in indonesia was extremely lightweight and pan was distorted so that the lid did not fit securely there was no way to realign the pan so the lid would fit it was in the construction of the pan as a long time user of revere ware we were very disappointed in this product sent to us we will never purchase another revere ware product once burned we will not go back to a second treatment	negative
i am not a coffee connoisseur so my criteria for a good coffee maker is probably modest i bought the ka javastudio because i own several ka appliances and have always been pleased although the ka 10 cup is pricey i felt that buying a thermal carafe represented an upgrade from my previous glass carafe i also figured that the wide spray mechanism might mean a richer cup of coffee i did as much research as i could reading reviews and looking at available coffee makers in my area after trying out our new ka yesterday my husband and i were both disappointed in its functionality and performance here are some points to consider about this product 1 the ka 10 cup makes 4 1 4 oz cups in other words if you re looking for 8 ounce servings the most this will make is about 5 real cups of coffee 2 the thermal carafe is heavy if you re planning on keeping this on your counter and possibly under a cabinet it is a tug to pull it out each time you use it to pour water in the back 3 there is no way to figure out the water level in the tank the directions say to use the optional white water filter insert 4 for us at least taste wise there is no discernible difference between what the ka brewed and what we ve tolerated with our old coffee maker good luck with your search for a more perfect coffee maker	negative
bad quality on off switch and plastic ring broken after 1 year	negative
we bought this rice cooker because of the reputable brand name we have been using it for about 4 months now it cooks good rice however the rice does not stay fresh for over 3 days sometimes regardless of what other reviewers said we ve got spoiled rice in it a few times already with no understandable reason and the rice was in keep warm mode at all times in addition if you forget to stir the rice and leave it in the keep warm mode for a day the top layer becomes very hard and the bottom layer becomes very soggy so you do need to stir the rice quite often to prevent the dryout i haven t tried cooking porridge or any other kind of rice besides white rice if i were to decide all over again i would stay away from this rice cooker i thought i ve bought a top notched product now i regret that i spent this much on a rice cooker	negative
i purchased this opener 12 6 06 and the motor quit 3 5 07 what really troubles me is that i probably only open five or six cans a week please don t waste your money	negative
i have ordered this unit twice this past month the first one did not work properly in one of the units the signal was distorted after returning it to the supplier i ordered it again from another amazon supplier and one of the units did not work at all i will now look for another brand	negative
the legs were a bit tricky to put down and when i did i busted the mounts never even used this thing threw it away coleman makes one that i bought that s better built and excalibur electronics has one available as well that i also bought i like excalibur s better but both are better than this piece of junk all 3 brands are in the same price range interestingly there aren t a lot of portable ac dc fan options out there i bought these for camping in florida	negative
i ordered this table based on the reviews i read and boy i will never do that again this table is such poor quality and is not worth the money i am so disappointed in it that i shoved it in a corner where no one can see it and put a plant on it it is not a sturdy table so if you are looking for something that holds up this is not one to buy i would say this table is worth 20 and no more	negative
i should have read the other review more closely this is a good blanket for hot summer nights i believe it is too light for cold winter nights i expected more for over 50 if i didn t return it it would have made a nice decorative throw the color and texture are nice	negative
people cliam this fan is quiet it s not quiet i wanted a fan that will circulate the bedroom air during the night it s too loud and keeps me awake	negative
i consider myself a space heater pro i have tried so many heaters and only this one this year has been worthy of a review buy this heater i love it so much that i bought two more when i loaned my original to my sister \) it is great the tower has two heat options that are fantastic it heats the whole room if you need it to a must have for chilly nights	positive
i was tired of replacing wires on my old cheese slicer every couple of years the blade bends through a block of cheese it doesnt provide a straight cut	negative
had somewhat higher expectations given that this was a lennox got the shaker home tried it out it leaks no matter how hard you hold the darn thing together it leaks i am a materials engineer so i gave the product a more than cursory examination very very poor quality also made in china \( if that has anything to do with quality hint hint wink wink \) do not buy	negative
i purchased this for a betta fish which was a gift for my cats this model was perfect because the lid screws on which eliminates any fear of my cats lifting the lid to get to the fish there is a small hole at the top so you don t have to unscrew the lid to feed the fish the aqua gems cover the bottom but i added some gravel for additional covering also the aqua gems are light and you lose some when changing the water so some other covering will likely need to be added eventually the one negative i found is that the light is basically useless it illuminates nothing and the batteries die quickly other than that i m very satisfied i did look at petsmart for additional oxygen stones but they don t sell them not sure if those are really necessary though	positive
these are great the keep my drinks cold for a very long time and are top rack dishwasher safe	positive
bought this item two years ago for power plus price the blender ring broke right away and i had to ship it for repair the speedometer has never really worked correctly and eventually broke the blender when it does work is powerful the blender ring recently broke again if you get a good warranty go for it otherwise save your cash for a blender with a good warranty and track record	negative
i was one of the lucky ones to get this king size comforter it appears to be a little on the thin side but is very warm i got this for the dogs and they seem to like it the pillow shams are only standard instead of king very good price too	positive
this little clock measures 2 25 x 2 25 x 1 25 inches \( 5 5 x 5 5 x 3 3 cm \) there s one simple knob to set the time and alarm and the knob is easy to manipulate even without tiny fingers little glow in the dark accents on the hands help with night vision though they are not very bright to turn the alarm on just pop up the gray lever on the top smack it to shut the alarm off \( you could press it gently but it did just wake you up right \) there is no snooze feature but for 5 it s a great value as a travel alarm in case you nap in your car or as a backup should your primary alarm clock fail you you just need to add your own aa battery to get it running	positive
my 5 year old daughter loves this vacuum the only proble it doesn t hold a charge i charge it over night and maybe lasts 15 min can anyone help	negative
yes it is made to be a decanter for half bottles but yes it does easily hold a full bottle what i use this decanter for is to have a nice presentation of the wine at dinner so i decant it then pour 2 to 4 glasses and the rest of the wine sits in the decanter on the table until it is consummed if you use it in the same manner you do not have to worry about the size \( but again it fits an entire bottle so do not fret about size unless you need maximum air contact \) i also bought a second one and use it as a water pitcher to have at the table and guests love it	positive
although it has two prongs to do two shapes at the same time i had problems with the cookies sticking together so i would recommend only using one mold at a time	positive
i purchased this in cobalt blue it goes with my fiestaware dishes as well as my pzaltsgraf and longerberger pottery i also agree that the color and glaze are beautiful and much nicer in person than online it has a large capacity and pleasing lines i ll most likely purchase an additional one in another color for larger holiday meals to be able to use more than one	positive
i always buy products from amazon and i never have any complains about any of them but about this product i am so disappoint because the lids does nt fit with the 32 oz containers i hope that they fix this problem because is a good way to keep your kitchen organized	negative
i really bought these measuring spoons to match the michael graves measuring cups that i was planning to buy and i am sure glad that i did the are the easiest to use measuring spoons that i have ever used the unique handles seem just right you can use them equally well with either hand it seemed with the dipper type spoons that i previously used i was always changing hands and the spoon was always in th wrong hand with these you can forget that you can tell the size of each of them just by looking at them but i wish that they would have embossed the sizes all a little larger and painted them white black on black is hard to see especially when the numbers are so small	positive
i got this wok for christmas as a gift it is perfect you are able to cook just about anything on this at a high heat without worrying that the food will stick to the bottom of the pan it is easy to clean so far i have cooked stir fries and potatoes with chorizo each time the food came out perfect not undercooked or over cooked	positive
this product is a must have for anyone serious about baking this mixer is by far the best appliance that i have purchased for my kitchen next to the refrigerator of course i reccomend this product to anyone who loves to bake the 5 quart was worth the money don t buy the 4 qt save the money and purchase the 5 you ll be glad that you did	positive
this product does not work the dial just moves randomly please tell me who to contact for a refund	negative
the add said it would seperate small berry seeds the holes on the smallest grate are about 1 8 you could fit 20 seed through one of them very disappointing	negative
it is big and heavy but a real workhorse mixes things we would only do by hand before	positive
not to be bought if you want to hatch alot of baby brine shrimp but great if you want to hatch an occasional snack for your fish or to have around if the power goes out nifty easy to use product	positive
ordered this item as a gift for my daughter arrived quickly and did not appear broken or used but would not work at all appliance would not activate very disappointing probably why it was such a deal shipping was as much as the item valentine surprise failed	negative
it seemed like a great idea at the time but it does not work at all simply the grass isn t growing it only made the water in the fountain dirt	negative
we have tried a variety of knife sharpeners and they didn t work very well finally i purchased this item and we have been quite pleased ever since friends even ask to use it if you need sharp knives for cooking then this item is a great purchase the cost may seem higher than most but well worth the quality and it really sharpens both serrated and straight knives easy to use and nice addition to a kitchen where you enjoy cooking	positive
i hated these shakers i got them as a gift and 1 they are too big and take up too much space and 2 the rubber stoppers were not a tight fit so the salt and pepper was always leaking out the bottom and 3 the holes in the top are too big and too much comes out at once finally one broke and i was thrilled to toss them out the other smaller fiesta ware ones the round ones are much much better	negative
i haven t used this for herbs but i have used it for onions and garlic and like the other reviewers found it very handy for quick and tear free mincing it s a very simple design and holds more food than you would expect i love that it s only 3 small parts \( 4 if you count the rubber blade \) that all fit easily into the dishwasher \( top rack \)	positive
very bad quality not worth to buy it it is not as good as the picture don t buy it	negative
got this tea kettle for a gift recently it s discontinued on amazon but they sell it at home goods for 24 99 pros asthetically pleasing \( looks pretty \) removable top for wide area to fill with water and makes it easier to wash removable whistle \( i can t stand the sound of a whistling tea kettle so i remove the plug \) cons it d be nice if the tea kettle had a flip up plug on the spout instead of the removable one \( i ll lose it eventually the other le creuset models have the flip up plug that opens with a press of the thumb \) the poor design of the spout is dangerous no matter how slowly i pour the boiling water \( even with the small amount i use only 4 or 6 ounces at a time \) a few tablespoons of water blub out very quickly sorry i can t think of a better descriptive word the spout opening is way too small but the width of the spout itself allows more of a flow of water so the first few tablespoons gush out so when you pour the water do it as slowly as possible put the mug on your counter or another surface that won t get ruined when wet and don t hold onto your mug as you pour the water because the blub of boiling water will burn	negative
had trouble finding out how to put it together then the motor started and would not stop had trouble getting the bottom in the right angle to stop it and then the slightest movement and it would go on again i would return it but it is too heavy to move heavy to move to make it change to mop part from brush part and making the motor stop was a formidable task i will let he battery run out and try it a few more times and try to use it just as a heavy mop that should not take too long	negative
i picked up a dozen in home depot for less than 5 same concept just a lot cheaper two of them are holding a huge heavy shelf in my kitchen the hole they make depends upon the weight of what they re holding i m sure it s pinhole sized if you re hanging something that weighs a few ounces \( in which case you don t need this use a pushpin \) the holes from the shelf are bigger than pin sized but it is a heavy shelf the hole is still way smaller than the hole i d make using any kind of a hook that would hold such a heavy shelf it also takes a little practice to figure out where to hang the hooks \( the drop of the hook is below where you might want the thing to actually hang \) this is a small detail but if you need two of these things and you don t do it right your object is gonna be crooked but on the bright side you won t have a huge hole to patch when you redo it recommended product \( but look around for the knockoffs	positive
these vino grande chardonnay glasses are less in volume and shorter in height than the spiegeleau stemware previously sold under the same name	negative
this is great it is very easy to clean just put it in the dishwasher you never have to worry about getting honey or syrup all over again it pours very clean and doesn t drip after you re done it looks very nice too great deal with a classy look	positive
this dish rack fits into small spaces and holds a decent capacity of plates etc perfect for a small apartment kitchen love it	positive
what a piece of crap just putting this together broke it and was missing one of the snap parts truely a waste of money	negative
by far the best bang for the buck when it comes to non stick pans it s already taken a beating and still looks like new with no scratches it also cooks very evenly across the entire bottom surface	positive
i purchased this item after having read about banneton in the book rustic european breads from your bread machine the picture clearly shows 4 baskets and the description is vague but you only get one the basket you get is quite small all but the smallest loaves would quickly overflow the basket it looks sturdy and well made it would have been good value for four baskets it was too much to pay for a single basket i didn t actually use it choosing instead to return it so i can t comment on how well it worked	negative
this item did not work when i got it i returned it to zelco who informed me that it was my error they did not do refunds and returned it to me i had a previous model zelco that worked great for 10 15 years it had a switch this new one does not have a switch and at this time will not turn off gr	negative
i bought this for my husband s birthday b c i watched him fumble each morning with the numerous lemons that are out there carafes that leak coffeemakers that don t keep the right temperature etc this is the kind of coffee you get at a 5 star restaurant in fact they probably use a bunn the design is utilitarian not decoration and they have mastered the art of great tasting coffee	positive
the top doesn t seal so shaking and storing the dressing can only be done with tinkering also the bottle being so narrow it s hard to clean	negative
i tried this thermal coffee press delighted to see it was 1 2 the price of other thermal coffee presses but in this instant you get what you pay for 1 \) the coffee doesn t stay as hot as a regular thermos 2 \) when you press the grains down to the bottom they leak back up into the thermos and your last cup of coffee looks and taste like mud 3 \) its these times that you wish you bought the item in the store because now i have to pack it back in its box and send it back	negative
never got it to work all i get when i hit the on tare button is in the trash it goes	negative
it looked like it would work it turned like a high quality item it won t open even 1 6 of a can as a newly purchased item go cheap and shop old time stores for can openers this is an over engineered benz lemon of a can opener i m taking it back to nob hill tomorrow morning	negative
i was very very disappointed with the performance of the tribest blender i bought it to blend breakfast smoothies nothing fancy just some protein powder and soy milk i even bought the larger cup the unit is very very under powered did not mix the ingredients had to transfer everything to my larger more industrial blender would not recommend this unit for any serious blending save your money or put it towards a better unit this product is a rip off does not even do the most basic blending of a liquid and a powder	negative
this cooks bacon crisp without any mess or spatter just place a couple of paper towels over the bacon i was using my george foreman grill but this is easier to clean	positive
clean elegant easy to use and clean but this cutting board has an aesthetic appeal that goes beyond mere functionality clean lines thinner than most boards and the look and feel of wood without the practical \( and bacterial \) problems a joy to use	positive
it s a towel not too much to say for more information read the hitchhiker s guide to the galaxy by douglas adams very good quality resiliant color hasn t faded despite being used to dry me off after falling into a creek being used as padding for my elbow at the firing range and wiping up spilled cleaning chemicals tough little bugger	positive
